_id,title,URLs,Working Link,Old Links
bioportal-rcd,"Read Codes, Clinical Terms Version 3 (CTV3)",https://lod-cloud.net/dataset/bioportal-rcd,https://bioportal.bioontology.org/ontologies/RCD,http://bioportal.bioontology.org/ontologies/1427
bioportal-rid,RadLex,https://lod-cloud.net/dataset/bioportal-rid,https://bioportal.bioontology.org/ontologies/RADLEX,http://bioportal.bioontology.org/ontologies/1057
bioportal-rnao,RNA ontology,https://lod-cloud.net/dataset/bioportal-rnao,https://bioportal.bioontology.org/ontologies/RNAO,http://bioportal.bioontology.org/ontologies/1500
bioportal-sao,Subcellular Anatomy Ontology (SAO),https://lod-cloud.net/dataset/bioportal-sao,https://bioportal.bioontology.org/ontologies/SAO,http://bioportal.bioontology.org/ontologies/1068
bioportal-sdo,Sleep Domain Ontology,https://lod-cloud.net/dataset/bioportal-sdo,https://bioportal.bioontology.org/ontologies/SDO,http://bioportal.bioontology.org/ontologies/1651
bioportal-sio,SemanticScience Integrated Ontology,https://lod-cloud.net/dataset/bioportal-sio,https://bioportal.bioontology.org/ontologies/SIO,http://bioportal.bioontology.org/ontologies/1532
bioportal-snomedct,SNOMED Clinical Terms,https://lod-cloud.net/dataset/bioportal-snomedct,,http://bioportal.bioontology.org/ontologies/1353
bioportal-sopharm,Suggested Ontology for Pharmacogenomics,https://lod-cloud.net/dataset/bioportal-sopharm,https://bioportal.bioontology.org/ontologies/SOPHARM,http://bioportal.bioontology.org/ontologies/1061
bioportal-swo,Software Ontology,https://lod-cloud.net/dataset/bioportal-swo,Software Ontology,http://bioportal.bioontology.org/ontologies/1413
bioportal-teo,Time Event Ontology,https://lod-cloud.net/dataset/bioportal-teo,https://bioportal.bioontology.org/ontologies/TEO,http://bioportal.bioontology.org/ontologies/3042
bioportal-tmo,Translational Medicine Ontology,https://lod-cloud.net/dataset/bioportal-tmo,Translational Medicine Ontology,http://bioportal.bioontology.org/ontologies/1461
bioportal-vo,Vaccine Ontology,https://lod-cloud.net/dataset/bioportal-vo,https://bioportal.bioontology.org/ontologies/VO,http://bioportal.bioontology.org/ontologies/1172
bioportal-so_x1,Sequence types and features,https://lod-cloud.net/dataset/bioportal-so_x1,https://bioportal.bioontology.org/ontologies/SO,http://bioportal.bioontology.org/ontologies/1109
bioportal-amino-acid,Amino Acid,https://lod-cloud.net/dataset/bioportal-amino-acid,https://bioportal.bioontology.org/ontologies/AMINO-ACID,https://bioportal.bioontology.org/ontologies/AMINO-ACID
bioportal-bootstrep,Gene Regulation Ontology,https://lod-cloud.net/dataset/bioportal-bootstrep,https://bioportal.bioontology.org/ontologies/GRO,http://bioportal.bioontology.org/ontologies/1106
bioportal-cco,Cell Cycle Ontology,https://lod-cloud.net/dataset/bioportal-cco,https://bioportal.bioontology.org/ontologies/CCO,http://bioportal.bioontology.org/ontologies/1507
bioportal-cdao,Comparative Data Analysis Ontology,https://lod-cloud.net/dataset/bioportal-cdao,https://bioportal.bioontology.org/ontologies/CDAO,http://bioportal.bioontology.org/ontologies/1128
bioportal-chebi,Chemical entities of biological interest,https://lod-cloud.net/dataset/bioportal-chebi,https://bioportal.bioontology.org/ontologies/CHEBI,http://bioportal.bioontology.org/ontologies/1007
bioportal-go_x1,Gene Ontology Extension,https://lod-cloud.net/dataset/bioportal-go_x1,https://bioportal.bioontology.org/ontologies/GO-EXT,http://bioportal.bioontology.org/ontologies/1506
bioportal-go_x2,Gene Ontology,https://lod-cloud.net/dataset/bioportal-go_x2,https://bioportal.bioontology.org/ontologies/GO,http://bioportal.bioontology.org/ontologies/1070
bioportal-gro_x2,Gene Regulation Ontology,https://lod-cloud.net/dataset/bioportal-gro_x2,https://bioportal.bioontology.org/ontologies/GRO,http://bioportal.bioontology.org/ontologies/1082
bioportal-imgt,IMGT-ONTOLOGY,https://lod-cloud.net/dataset/bioportal-imgt,https://bioportal.bioontology.org/ontologies/IMGT-ONTOLOGY,http://bioportal.bioontology.org/ontologies/1491
bioportal-mao,Multiple alignment,https://lod-cloud.net/dataset/bioportal-mao,,http://bioportal.bioontology.org/ontologies/1026
bioportal-mccl_x1,Cell line ontology,https://lod-cloud.net/dataset/bioportal-mccl_x1,https://bioportal.bioontology.org/ontologies/CLO,http://bioportal.bioontology.org/ontologies/1245
bioportal-mego,MeGO,https://lod-cloud.net/dataset/bioportal-mego,https://bioportal.bioontology.org/ontologies/MEGO,http://bioportal.bioontology.org/ontologies/1257
bioportal-mi,Protein-protein interaction,https://lod-cloud.net/dataset/bioportal-mi,,http://bioportal.bioontology.org/ontologies/1040
bioportal-mo,MGED Ontology,https://lod-cloud.net/dataset/bioportal-mo,https://bioportal.bioontology.org/ontologies/MO,http://bioportal.bioontology.org/ontologies/1131
bioportal-mod,Protein modification,https://lod-cloud.net/dataset/bioportal-mod,https://bioportal.bioontology.org/ontologies/PSIMOD,http://bioportal.bioontology.org/ontologies/1041
bioportal-nddf,National Drug Data File,https://lod-cloud.net/dataset/bioportal-nddf,https://bioportal.bioontology.org/ontologies/NDDF,http://bioportal.bioontology.org/ontologies/1424
bioportal-ndfrt,National Drug File,https://lod-cloud.net/dataset/bioportal-ndfrt,https://bioportal.bioontology.org/ontologies/NDFRT,http://bioportal.bioontology.org/ontologies/1352
bioportal-peo,Parasite Experiment Ontology,https://lod-cloud.net/dataset/bioportal-peo,https://bioportal.bioontology.org/ontologies/PEO,http://bioportal.bioontology.org/ontologies/1335
bioportal-phare,PHARE,https://lod-cloud.net/dataset/bioportal-phare,https://bioportal.bioontology.org/ontologies/PHARE,http://bioportal.bioontology.org/ontologies/1550
bioportal-rxnorm,RxNORM,https://lod-cloud.net/dataset/bioportal-rxnorm,https://bioportal.bioontology.org/ontologies/RXNORM,http://bioportal.bioontology.org/ontologies/1423
bioportal-sbo,Systems Biology,https://lod-cloud.net/dataset/bioportal-sbo,https://bioportal.bioontology.org/ontologies/SBO,http://bioportal.bioontology.org/ontologies/1046
bioportal-snpo,SNP-Ontology,https://lod-cloud.net/dataset/bioportal-snpo,https://bioportal.bioontology.org/ontologies/SNPO,http://bioportal.bioontology.org/ontologies/1058
bioportal-vandf,VANDF,https://lod-cloud.net/dataset/bioportal-vandf,https://bioportal.bioontology.org/ontologies/VANDF,http://bioportal.bioontology.org/ontologies/1527
bioportal-atmo,African Traditional Medicine,https://lod-cloud.net/dataset/bioportal-atmo,,http://bioportal.bioontology.org/ontologies/1099
bioportal-doid,Human disease ontology,https://lod-cloud.net/dataset/bioportal-doid,https://bioportal.bioontology.org/ontologies/DOID,http://bioportal.bioontology.org/ontologies/1009
bioportal-ehda,"Human developmental anatomy, timed version",https://lod-cloud.net/dataset/bioportal-ehda,https://bioportal.bioontology.org/ontologies/EHDA,https://bioportal.bioontology.org/ontologies/EHDA
bioportal-mcv,MIxS Controlled Vocabularies,https://lod-cloud.net/dataset/bioportal-mcv,https://bioportal.bioontology.org/ontologies/MIXSCV,http://bioportal.bioontology.org/ontologies/3000
bioportal-natpro,Natural Products Ontology,https://lod-cloud.net/dataset/bioportal-natpro,https://bioportal.bioontology.org/ontologies/NATPRO,http://bioportal.bioontology.org/ontologies/3004
bioportal-pma,PMA 2010,https://lod-cloud.net/dataset/bioportal-pma,,http://bioportal.bioontology.org/ontologies/1497
bioportal-rs,Rat Strain Ontology,https://lod-cloud.net/dataset/bioportal-rs,https://bioportal.bioontology.org/ontologies/RS,http://bioportal.bioontology.org/ontologies/1150
tcga-roadmap,TCGA Roadmap,https://lod-cloud.net/dataset/tcga-roadmap,,http://tcga.github.com/Roadmap/
dbpedia,DBpedia,https://lod-cloud.net/dataset/dbpedia,,http://dbpedia.org/
linkedct,LinkedCT,https://lod-cloud.net/dataset/linkedct,,http://linkedct.org/
bioportal-bp,BioPAX,https://lod-cloud.net/dataset/bioportal-bp,https://bioportal.bioontology.org/ontologies/BP,https://lod-cloud.net/dataset/bioportal-bp
bioportal-chem2bio2owl,Systems Chemical Biology/Chemogenomics,https://lod-cloud.net/dataset/bioportal-chem2bio2owl,https://bioportal.bioontology.org/ontologies/CHEMBIO,http://bioportal.bioontology.org/ontologies/1615
bioportal-dikb-evidence,DIKB-Evidence-Ontology,https://lod-cloud.net/dataset/bioportal-dikb-evidence,DIKB-Evidence-Ontology,http://bioportal.bioontology.org/ontologies/1672
bioportal-iev,Event (INOH pathway ontology),https://lod-cloud.net/dataset/bioportal-iev,https://old.datahub.io/dataset/bioportal-iev,http://bioportal.bioontology.org/ontologies/1011
bioportal-imr,Molecule role (INOH Protein name/family name ontology),https://lod-cloud.net/dataset/bioportal-imr,http://linkeddatacatalog.dws.informatik.uni-mannheim.de/id/dataset/bioportal-imr,http://bioportal.bioontology.org/ontologies/1029
bioportal-jerm,SysMO-JERM,https://lod-cloud.net/dataset/bioportal-jerm,https://old.datahub.io/dataset/bioportal-jerm,http://bioportal.bioontology.org/ontologies/1488
bioportal-mdr,MedDRA,https://lod-cloud.net/dataset/bioportal-mdr,https://bioportal.bioontology.org/ontologies/MEDDRA,http://bioportal.bioontology.org/ontologies/1422
bioportal-ms,Mass spectrometry,https://lod-cloud.net/dataset/bioportal-ms,https://bioportal.bioontology.org/ontologies/MS,http://bioportal.bioontology.org/ontologies/1105
bioportal-pdq,Physician Data Query,https://lod-cloud.net/dataset/bioportal-pdq,https://bioportal.bioontology.org/ontologies/PDQ,http://bioportal.bioontology.org/ontologies/1349
bioportal-pr,PRotein Ontology (PRO),https://lod-cloud.net/dataset/bioportal-pr,https://bioportal.bioontology.org/ontologies/PR,http://bioportal.bioontology.org/ontologies/1062
bioportal-rex,Physico-chemical process,https://lod-cloud.net/dataset/bioportal-rex,https://bioportal.bioontology.org/ontologies/REX,http://bioportal.bioontology.org/ontologies/1043
micro-coronavirus,Coronavirus dataset,https://lod-cloud.net/dataset/micro-coronavirus,,http://semweb.csdb.cn/micro
bioportal-ncbitaxon,NCBI organismal classification,https://lod-cloud.net/dataset/bioportal-ncbitaxon,https://bioportal.bioontology.org/ontologies/NCBITAXON,http://bioportal.bioontology.org/ontologies/1132
bioportal-adw,Animal natural history and life history,https://lod-cloud.net/dataset/bioportal-adw,https://bioportal.bioontology.org/ontologies/ADW,https://bioportal.bioontology.org/ontologies/ADW
bioportal-bt,BioTop,https://lod-cloud.net/dataset/bioportal-bt,https://bioportal.bioontology.org/ontologies/BT,http://bioportal.bioontology.org/ontologies/1134
bioportal-cpt,Current Procedural Terminology,https://lod-cloud.net/dataset/bioportal-cpt,https://bioportal.bioontology.org/ontologies/CPT,http://bioportal.bioontology.org/ontologies/1504
bioportal-fbbi,Biological imaging methods,https://lod-cloud.net/dataset/bioportal-fbbi,https://bioportal.bioontology.org/ontologies/FBbi,http://bioportal.bioontology.org/ontologies/1023
bioportal-icnp,International Classification for Nursing Practice,https://lod-cloud.net/dataset/bioportal-icnp,https://bioportal.bioontology.org/ontologies/ICNP,http://bioportal.bioontology.org/ontologies/1401
bioportal-lipro,Lipid Ontology,https://lod-cloud.net/dataset/bioportal-lipro,https://bioportal.bioontology.org/ontologies/LIPRO,http://bioportal.bioontology.org/ontologies/1183
bioportal-medlineplus,MedlinePlus Health Topics,https://lod-cloud.net/dataset/bioportal-medlineplus,https://bioportal.bioontology.org/ontologies/MEDLINEPLUS,http://bioportal.bioontology.org/ontologies/1347
bioportal-nigo,Neural-Immune Gene Ontology,https://lod-cloud.net/dataset/bioportal-nigo,https://bioportal.bioontology.org/ontologies/NIGO,http://bioportal.bioontology.org/ontologies/1539
bioportal-oboe-sbc,OBOE SBC,https://lod-cloud.net/dataset/bioportal-oboe-sbc,https://bioportal.bioontology.org/ontologies/OBOE-SBC,http://bioportal.bioontology.org/ontologies/1523
bioportal-pedterm,Pediatric Terminology,https://lod-cloud.net/dataset/bioportal-pedterm,https://bioportal.bioontology.org/ontologies/PEDTERM,http://bioportal.bioontology.org/ontologies/1640
bioportal-propreo,Proteomics data and process provenance,https://lod-cloud.net/dataset/bioportal-propreo,https://bioportal.bioontology.org/ontologies/PROPREO,http://bioportal.bioontology.org/ontologies/1039
bioportal-sep,Sample processing and separation techniques,https://lod-cloud.net/dataset/bioportal-sep,https://bioportal.bioontology.org/ontologies/SEP,http://bioportal.bioontology.org/ontologies/1044
bioportal-unitsontology,Units Ontology,https://lod-cloud.net/dataset/bioportal-unitsontology,https://bioportal.bioontology.org/ontologies/UNITSONT,http://bioportal.bioontology.org/ontologies/1650
bioportal-omim,Online Mendelian Inheritance in Man,https://lod-cloud.net/dataset/bioportal-omim,https://bioportal.bioontology.org/ontologies/OMIM,http://bioportal.bioontology.org/ontologies/1348
bioportal-aao,Amphibian gross anatomy,https://lod-cloud.net/dataset/bioportal-aao,,http://bioportal.bioontology.org/ontologies/1090
bioportal-air,AI/RHEUM,https://lod-cloud.net/dataset/bioportal-air,https://bioportal.bioontology.org/ontologies/AI-RHEUM,http://bioportal.bioontology.org/ontologies/1430
bioportal-bho,Bleeding History Phenotype,https://lod-cloud.net/dataset/bioportal-bho,https://bioportal.bioontology.org/ontologies/BHO,http://bioportal.bioontology.org/ontologies/1116
bioportal-bto,BRENDA tissue / enzyme source,https://lod-cloud.net/dataset/bioportal-bto,https://bioportal.bioontology.org/ontologies/BTO,http://bioportal.bioontology.org/ontologies/1005
