title,id,url
"Human developmental anatomy, abstract version",bioportal-ehdaa,https://bioportal.bioontology.org/ontologies/EHDAA
"Human developmental anatomy, abstract version, v2",bioportal-ehdaa2,https://bioportal.bioontology.org/ontologies/EHDAA2
eVOC (Expressed Sequence Annotation for Humans),bioportal-ev,https://old.datahub.io/bg/dataset/bioportal-ev
Drosophila gross anatomy,bioportal-fbbt,https://bioportal.bioontology.org/ontologies/FB-BT
Family Health History Ontology,bioportal-fhho,https://bioportal.bioontology.org/ontologies/FHHO
Hymenoptera Anatomy Ontology,bioportal-hao,https://bioportal.bioontology.org/ontologies/HAO
HEALTH_INDICATORS,bioportal-hlth_indics,https://old.datahub.io/nl/dataset/f6e3c9e6-e3f1-4b8c-b218-bd5f0c700488
Human Phenotype Ontology,bioportal-hp_x1,https://bioportal.bioontology.org/ontologies/HP
ICD10,bioportal-icd10,https://bioportal.bioontology.org/ontologies/ICD10
ICD10CM,bioportal-icd10cm,https://bioportal.bioontology.org/ontologies/ICD10CM
International Classification of Diseases,bioportal-icd9cm,https://bioportal.bioontology.org/ontologies/ICD9CM
International Classification of Primary Care,bioportal-icpc,https://bioportal.bioontology.org/ontologies/ICPC2P
ICPC-2 PLUS,bioportal-icpc2p,https://bioportal.bioontology.org/ontologies/ICPC2P
Mouse adult gross anatomy,bioportal-ma,https://bioportal.bioontology.org/ontologies/MA
Minimal anatomical terminology,bioportal-mat,https://bioportal.bioontology.org/ontologies/MAT
Breast tissue cell lines,bioportal-mcbcc,https://bioportal.bioontology.org/ontologies/MCBCC
Cell line ontology,bioportal-mccl,https://bioportal.bioontology.org/ontologies/CLO
Medaka fish anatomy and development,bioportal-mfo,https://bioportal.bioontology.org/ontologies/MFO
Mammalian phenotype,bioportal-mp,https://bioportal.bioontology.org/ontologies/MP
Mouse pathology,bioportal-mpath,https://bioportal.bioontology.org/ontologies/MPATH
Ontology of Glucose Metabolism Disorder,bioportal-ogmd,https://bioportal.bioontology.org/ontologies/OGMD
Ontology for MicroRNA Target Prediction,bioportal-omit,
Orphanet Ontology of Rare Diseases,bioportal-ontoorpha,https://bioportal.bioontology.org/ontologies/ORDO
PKO_Re,bioportal-pko,https://old.datahub.io/it/dataset/bioportal-pko
Student Health Record,bioportal-shr,https://bioportal.bioontology.org/ontologies/SHR
Syndromic Surveillance Ontology,bioportal-sso,https://bioportal.bioontology.org/ontologies/SSO
Teleost Anatomy Ontology,bioportal-tao,https://bioportal.bioontology.org/ontologies/TAO
Traditional Medicine Signs and Symptoms Value Set,bioportal-tm-signs-and-sympts,https://bioportal.bioontology.org/ontologies/TM-SIGNS-AND-SYMPTS
Uber anatomy ontology,bioportal-uberon,https://bioportal.bioontology.org/ontologies/UBERON
vertebrate Homologous Organ Groups,bioportal-vhog,https://bioportal.bioontology.org/ontologies/VHOG
C. elegans gross anatomy,bioportal-wbbt,https://bioportal.bioontology.org/ontologies/WB-BT
WHO Adverse Reaction Terminology,bioportal-who,https://bioportal.bioontology.org/ontologies/WHO-ART
Xenopus anatomy and development,bioportal-xao,https://bioportal.bioontology.org/ontologies/XAO
Zebrafish anatomy and development,bioportal-zfa,https://bioportal.bioontology.org/ontologies/ZFA
ABA Adult Mouse Brain,bioportal-aba,https://bioportal.bioontology.org/ontologies/ABA-AMB
Anatomical Entity Ontology,bioportal-aeo,https://bioportal.bioontology.org/ontologies/AEO
Ascomycete phenotype ontology,bioportal-apo,https://bioportal.bioontology.org/ontologies/APO
Basic Vertebrate Anatomy ,bioportal-basic-vertebrate-gross-anatomy,https://old.datahub.io/sl/dataset/bioportal-basic-vertebrate-gross-anatomy
Breast Cancer Grading Ontology,bioportal-bcgo,https://bioportal.bioontology.org/ontologies/BCGO
